tsr_no,service_type,partition,is_hadev,pool_monitor,pool_port,pool_member_list,vs_name,vip,vip_port,snat_pool,client_tcp,server_tcp,CreatedDate
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_test-duplicate-aat_31332_dc7,,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_test-duplicate-aat_31332_dc7,160.200.198.217,,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:35
RID-240103_testcase_01,highport,Cloud,False,monTcp_OCP4_eai-cdi-integrationsuite-aat2_31333_dc7,,cldinfvmctst71c:31333 cldinfvmctst71d:31333 cldinfvmctst71e:31333 cldinfvmctst71f:31333 cldinfvmctst71g:31333 cldinfvmctst71h:31333 cldinfvmctst71i:31333 cldinfvmctst71j:31333 cldinfvmctst71k:31333,vs_OCP4_eai-cdi-integrationsuite-aat2_31333_dc7,160.200.198.169,,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:35
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_eai-cdi-integrationsuite-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_eai-cdi-integrationsuite-aat_31332_dc7,160.200.198.217,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:36
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_test-duplicate-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_test-duplicate-aat_31332_dc7,160.200.198.217,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:36
RID-240103_testcase_01,highport,Cloud,False,monTcp_OCP4_eai-cdi-integrationsuite-aat2_31333_dc7,31333,cldinfvmctst71c:31333 cldinfvmctst71d:31333 cldinfvmctst71e:31333 cldinfvmctst71f:31333 cldinfvmctst71g:31333 cldinfvmctst71h:31333 cldinfvmctst71i:31333 cldinfvmctst71j:31333 cldinfvmctst71k:31333,vs_OCP4_eai-cdi-integrationsuite-aat2_31333_dc7,160.200.198.169,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:36
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_eai-cdi-integrationsuite-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_eai-cdi-integrationsuite-aat_31332_dc7,160.200.198.217,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:47
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_test-duplicate-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_test-duplicate-aat_31332_dc7,160.200.198.217,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:47
RID-240103_testcase_01,highport,Cloud,False,monTcp_OCP4_eai-cdi-integrationsuite-aat2_31333_dc7,31333,cldinfvmctst71c:31333 cldinfvmctst71d:31333 cldinfvmctst71e:31333 cldinfvmctst71f:31333 cldinfvmctst71g:31333 cldinfvmctst71h:31333 cldinfvmctst71i:31333 cldinfvmctst71j:31333 cldinfvmctst71k:31333,vs_OCP4_eai-cdi-integrationsuite-aat2_31333_dc7,160.200.198.169,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:47
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_eai-cdi-integrationsuite-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_eai-cdi-integrationsuite-aat_31332_dc7,160.200.198.217,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:48
RID-240103_testcase_01,highport,Cloud,True,monTcp_OCP4_hadev_test-duplicate-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_hadev_test-duplicate-aat_31332_dc7,160.200.198.217,80,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 16:48
